time,nuts,dmd,scenario,gcm,rcm,ensemble,model
1951-01-01,EL64,0.09419785511569044,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1952-01-01,EL64,0.9984906645482325,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1953-01-01,EL64,0.5464719007464736,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1954-01-01,EL64,0.09459190816103354,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1955-01-01,EL64,3.9803064567091138,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1956-01-01,EL64,1.2657252576041218,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1957-01-01,EL64,0.2840374662900254,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1958-01-01,EL64,0.0,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1959-01-01,EL64,1.0719987178490178,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1960-01-01,EL64,0.132139603544291,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1961-01-01,EL64,0.7340755581721156,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1962-01-01,EL64,1.130298412691169,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1963-01-01,EL64,1.0390606188704363,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1964-01-01,EL64,1.2247590918749167,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1965-01-01,EL64,1.8678571633214633,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1966-01-01,EL64,0.01877348838565977,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1967-01-01,EL64,0.1882616093526735,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1968-01-01,EL64,0.6215040140926439,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1969-01-01,EL64,0.0,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1970-01-01,EL64,0.18931360680916484,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1971-01-01,EL64,1.864503771357895,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1972-01-01,EL64,1.038139852869179,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1973-01-01,EL64,0.43442203685457453,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1974-01-01,EL64,1.1881260311858497,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1975-01-01,EL64,1.6054281015369476,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1976-01-01,EL64,1.0395186554352631,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1977-01-01,EL64,0.03781051697336663,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1978-01-01,EL64,1.4905515861614258,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1979-01-01,EL64,0.4915992819880172,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1980-01-01,EL64,1.3400958359847168,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1981-01-01,EL64,4.146171546683394,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1982-01-01,EL64,1.7164256155696473,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1983-01-01,EL64,1.3572999345839296,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1984-01-01,EL64,0.09380093013473478,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1985-01-01,EL64,2.5653040075229545,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
