year,population
1975,425902.28510579164
1980,444017.9732226621
1985,470750.8985756294
1990,490412.7463494472
1995,508224.2765996824
2000,521798.0971954223
2005,531397.3719865205
2010,534819.5705059934
2015,511959.95214792923
2020,505002.546691046
2025,451385.5023026058
2030,422459.64027757756
2035,402608.38121325243
2040,382952.0776415785
2045,364495.648229656
2050,344873.6430874257
2055,323530.45550269866
2060,300803.3414491136
2065,279097.5541068156
2070,257720.00502723106
2075,241366.37509886027
2080,226671.57679408928
2085,215900.20276244936
2090,205467.9580282996
2095,195438.60577233936
2100,184934.71792601293
