year,ag_fraction
1992,0.30458113606242876
1993,0.30457186813594195
1994,0.30456723417269854
1995,0.3011566372255535
1996,0.29807041770544673
1997,0.29624463618754576
1998,0.2939461904188176
1999,0.2871481663407446
2000,0.28456704881416883
2001,0.28358001464332383
2002,0.28309344850276646
2003,0.28255127480328823
2004,0.28199983317732324
2005,0.2816383840443378
2006,0.2813835160659506
2007,0.2810081650432349
2008,0.27937237601831344
2009,0.27904799859127516
2010,0.2788904438409995
2011,0.27864947775234244
2012,0.2785475305609876
2013,0.278505824891797
2014,0.27826485880313995
2015,0.2781999833177323
2016,0.27796365119231875
2017,0.27770878321393155
2018,0.27756049639014263
2019,0.27707393024958527
2020,0.27694417927876996
2021,0.277013688727421
2022,0.2769117415360661
